epoch	train_loss	lr
153	0.0256	0.0006
154	0.0256	0.0006
155	0.0256	0.0006
156	0.0256	0.0006
157	0.0256	0.0006
158	0.0257	0.0006
159	0.0256	0.0006
160	0.0257	0.0006
161	0.0257	0.0006
162	0.0256	0.0006
163	0.0257	0.0006
164	0.0256	0.0006
165	0.0255	0.0006
166	0.0257	0.0006
167	0.0256	0.0006
168	0.0258	0.0006
169	0.0257	0.0006
170	0.0256	0.0006
171	0.0256	0.0006
172	0.0255	0.0006
173	0.0256	0.0006
174	0.0256	0.0006
175	0.0255	0.0006
176	0.0255	0.0006
177	0.0257	0.0006
178	0.0257	0.0006
179	0.0257	0.0006
180	0.0255	0.0006
181	0.0256	0.0006
182	0.0256	0.0006
183	0.0258	0.0006
184	0.0257	0.0006
185	0.0255	0.0006
186	0.0256	0.0006
187	0.0256	0.0006
188	0.0256	0.0006
189	0.0256	0.0006
190	0.0255	0.0006
191	0.0258	0.0006
192	0.0256	0.0006
193	0.0256	0.0006
194	0.0256	0.0006
195	0.0255	0.0006
196	0.0256	0.0006
197	0.0255	0.0006
198	0.0256	0.0006
199	0.0253	0.0006
200	0.0253	0.0003
201	0.0253	0.0003
202	0.0254	0.0003
203	0.0255	0.0003
204	0.0251	0.0003
205	0.0253	0.0003
206	0.0254	0.0003
207	0.0252	0.0003
208	0.0254	0.0003
209	0.0253	0.0003
210	0.0254	0.0003
211	0.0254	0.0003
212	0.0251	0.0003
213	0.0253	0.0003
214	0.0254	0.0003
215	0.0254	0.0003
216	0.0253	0.0003
217	0.0255	0.0003
218	0.0252	0.0003
219	0.0254	0.0003
220	0.0252	0.0003
221	0.0254	0.0003
222	0.0252	0.0003
223	0.0254	0.0003
224	0.0254	0.0003
225	0.0253	0.0003
226	0.0255	0.0003
227	0.0253	0.0003
228	0.0254	0.0003
229	0.0252	0.0003
230	0.0253	0.0003
231	0.0252	0.0003
232	0.0253	0.0003
233	0.0254	0.0003
234	0.0253	0.0003
235	0.0253	0.0003
236	0.0252	0.0003
237	0.0254	0.0003
238	0.0252	0.0003
239	0.025	0.0003
240	0.0253	0.0003
241	0.0254	0.0003
242	0.0254	0.0003
243	0.0252	0.0003
244	0.0254	0.0003
245	0.0252	0.0003
246	0.0253	0.0003
247	0.0255	0.0003
248	0.0254	0.0003
249	0.0253	0.0003
250	0.0255	0.0003
251	0.0252	0.0003
252	0.0252	0.0003
253	0.0251	0.0003
254	0.0253	0.0003
255	0.0252	0.0003
256	0.0252	0.0003
257	0.0252	0.0003
258	0.0252	0.0003
259	0.0252	0.0003
260	0.0254	0.0003
261	0.0254	0.0003
262	0.0252	0.0003
263	0.0251	0.0003
264	0.0253	0.0003
265	0.0251	0.0003
266	0.0252	0.0003
267	0.0252	0.0003
268	0.0252	0.0003
269	0.0253	0.0003
270	0.0253	0.0003
271	0.0251	0.0003
272	0.0252	0.0003
273	0.0253	0.0003
274	0.0253	0.0003
275	0.0253	0.0003
276	0.0254	0.0003
277	0.0253	0.0003
278	0.0253	0.0003
279	0.0251	0.0003
280	0.0252	0.0003
281	0.0253	0.0003
282	0.0252	0.0003
283	0.0253	0.0003
284	0.0254	0.0003
285	0.0251	0.0003
286	0.0253	0.0003
287	0.025	0.0003
288	0.0253	0.0003
289	0.0252	0.0003
290	0.0252	0.0003
291	0.0253	0.0003
292	0.025	0.0003
293	0.0253	0.0003
294	0.0253	0.0003
295	0.0253	0.0003
296	0.0253	0.0003
297	0.0251	0.0003
298	0.0253	0.0003
299	0.025	0.0003
300	0.0252	0.0003
